,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99,s100,s101,s102,s103,s104,s105,s106,s107,s108,s109,s110,s111,s112,s113,s114,s115,s116,s117,s118,s119,s120
ERMAP,99.69048697,99.97907555,101.2956738,99.76734521,99.08818892,99.79576068,100.4283385,100.1090649,100.1213731,98.81225101,99.63816157,99.11304174,99.35483212,99.92609513,100.0867702,97.56018689,99.28487188,99.44240498,100.8864066,99.72756767,99.35733586,98.02553901,101.3040483,99.57547923,100.862126,98.29903213,98.7607131,100.6555729,99.49867019,99.3286865,100.0252551,100.2067815,99.0299267,99.26080864,100.1564019,100.0031161,100.5042586,100.577766,100.6356239,98.40048944,98.94273591,101.4363926,101.8288743,98.77256212,100.6168637,100.7756754,100.8228148,99.75706264,102.4807368,97.94980351,101.5825301,99.21352265,102.0558323,99.69198892,99.51538886,101.3770774,99.39612457,100.1386879,97.75223693,99.05771155,119.4173919,111.4705402,120.6528186,115.3920063,104.5574404,114.3038661,114.3691766,102.2488235,117.0843541,106.5021309,119.1836267,119.8128268,111.0408089,100.1534805,107.9478485,117.578561,113.4371062,108.6992697,108.142225,117.6912128,114.7701203,104.3235922,120.2071819,119.1323308,120.5748101,111.6421257,114.2086356,104.6540553,120.1923022,115.6552649,100.3432076,101.9312479,100.7525009,100.4508085,99.88838035,99.7422067,100.2738638,100.2445554,101.6770428,101.3834042,100.9874691,100.1353544,100.1519943,99.60916427,101.9190106,105.8580128,100.5517091,100.494337,99.52077209,100.5024013,100.3492938,102.1641059,100.5929534,99.52804609,98.8428914,99.64223049,101.3925147,101.7658177,99.84060954,99.40167036
FOLR4,134.6029227,127.9138177,132.6438011,131.4011207,126.339169,128.7534789,127.1095929,131.9556323,131.4838612,130.1428274,134.2611109,130.7096643,111.8894215,112.2402331,126.166194,109.8016499,116.2979626,131.9656252,110.8526932,120.499346,114.9065735,109.7305469,117.4257018,132.9991446,116.0046429,131.3025153,123.1856023,122.6921749,133.2079875,112.1620229,131.2571246,132.8278359,132.0629179,122.8246021,133.8064206,124.714248,127.2749557,132.875244,134.9889316,127.0791771,125.8823782,126.4181068,131.6387251,128.568537,126.3796022,132.1165313,130.0229754,135.2545513,127.1225313,128.3816394,130.6451846,129.1572883,124.5879419,128.4237831,131.3019432,123.4891853,128.539881,125.3377832,128.8801501,132.8086736,118.3052071,118.4714392,118.7147592,119.7358205,122.4940753,121.2914924,122.4462059,122.6432081,118.3784554,118.9036211,120.5245771,119.7258106,119.7055494,124.8527756,122.7645115,116.1324135,121.4722885,123.3160421,117.2224183,118.0481107,116.9814716,119.2096057,119.5489472,118.692093,120.0614525,121.1791027,117.5540867,123.0747108,121.7402075,118.9901558,117.9477161,117.4171914,118.2981051,115.8579095,116.675838,117.507836,118.5763773,117.8541288,117.7260422,118.2527833,120.0451047,116.5947265,119.5955627,118.0723915,118.4552517,118.9075614,117.3319679,119.6991152,120.2641601,117.8059909,117.044015,118.5962011,121.4874795,117.4005204,118.2902564,120.0258861,118.5217151,118.4288244,118.7286688,116.5353325
LCE1A,105.4521331,104.7128094,103.8046751,101.9224607,106.0237892,105.4784991,106.7635088,102.3583517,103.3781589,103.0347058,102.4067398,106.059784,118.7057897,112.2140227,106.6869226,115.6264315,109.8721561,102.8773621,114.1898127,108.6941299,113.6663976,121.6265509,110.6998006,102.1064051,112.0629423,102.2252949,105.688417,108.7777099,103.6778497,117.7205651,102.5558906,100.5821156,102.5351483,99.59219863,100.9817724,101.8438603,99.31713842,99.98983391,102.903398,102.5592093,101.3108793,102.579576,100.732737,102.8830295,101.5211041,103.4699514,100.1416856,100.678548,99.58115488,101.3281507,100.9623856,101.2524394,100.7347119,100.1401538,101.8462092,102.0744791,100.4417475,101.9687001,101.6263211,101.6312405,102.4950034,101.6489604,100.8110334,101.112761,104.3998325,101.5607538,102.0377339,100.9906024,99.45393564,100.7677811,100.5603125,101.2722143,102.3925529,102.2192052,101.2182107,100.7631657,102.0312338,100.7366798,99.62582017,101.2779976,101.598441,101.4848747,100.5401343,102.3286322,101.0284563,100.058047,101.5207917,100.3583574,100.7914335,102.2239965,99.91486317,99.47433366,102.5108316,100.5634279,102.1914236,101.3911685,101.5028654,101.5316862,99.84379792,100.9802825,100.8598956,101.7422236,99.95025535,101.3389142,100.835939,102.2836171,100.7583253,98.78651544,100.6066705,98.63476457,101.9557375,101.683092,98.80951487,101.9008243,101.1575043,100.7128549,102.4635145,100.2644527,102.0127683,100.9028222
E2F1,83.0106524,82.4037388,84.25496434,81.74132033,83.76882656,81.75786739,82.66911155,82.75238287,81.37684571,84.24729781,82.00354526,82.47013128,81.67590452,82.53975302,81.95374309,82.59328355,81.47883991,82.72003724,82.8018562,81.90839314,82.03756213,82.30335893,82.81096974,81.84917881,82.06261511,81.67711023,82.996045,82.93468478,82.10549643,82.92849251,83.24188695,82.343165,81.91499744,90.21464701,82.67399867,90.45986313,88.20121481,82.92093231,83.92934237,89.16787709,88.31052268,86.46276279,82.36057683,82.65355657,89.30706698,81.89186205,82.72289576,82.23557003,85.78300644,84.93526913,82.1036298,86.27138208,90.92648238,85.86738512,82.57284177,92.58796284,83.34440334,87.85588348,84.99552191,82.99071247,98.7521952,99.91740503,98.21799091,95.83039468,94.95212089,96.73324547,94.7458677,93.50145932,99.70973579,99.30062717,97.7850211,99.15697017,99.05426512,91.36676226,93.69878538,99.55525957,97.05263855,95.11428358,98.71968373,97.83151542,97.67424272,99.28747943,97.28735762,98.04857906,99.45203745,94.75601995,98.32884483,92.07294372,99.18945009,98.55487467,99.63979842,100.0142939,98.9705577,100.3871501,98.47468437,99.05735149,98.44208951,98.05007748,97.07172363,99.01712512,97.6978477,99.63073368,98.9555354,98.55475771,98.97227761,98.58964819,98.55184111,100.0372402,98.16936537,97.55644141,98.83025052,99.22412201,98.21083199,99.29085395,98.93470461,98.67734356,97.76795956,98.3548086,98.5588533,98.50848577
GLB1L2,103.3211962,104.233601,99.37517104,99.11575276,106.2837548,104.79953,104.1987747,98.88181559,103.8910564,104.0136005,99.37103408,104.0879536,90.98887149,104.196875,105.8178424,99.43590907,104.78103,98.22878208,100.0137172,106.2610212,107.5215532,88.49885657,105.8002365,98.50813734,106.193805,101.431149,104.7806269,105.3859826,102.4911452,94.22574575,87.61997446,96.03770524,90.72656634,89.12823775,93.97120566,88.93516258,88.99982082,91.85658819,95.04918715,89.63871555,87.13935579,88.58027473,92.70027454,88.2025229,87.77822275,95.90555793,89.07577889,94.28855989,88.29946785,90.33452205,89.92985273,88.48375554,89.81750104,88.65227876,92.17394004,88.2831418,89.38893768,88.7251122,88.93111089,89.95172199,88.53097167,88.71304241,89.44860242,89.1315099,88.90067338,89.29346402,87.86069782,89.34229996,89.33800161,89.84328119,88.22621977,88.46758767,90.431238,88.75147395,88.81144156,89.44096632,89.6435271,88.76669133,87.92960557,88.96933639,89.46238926,88.32675088,89.79142856,88.25506424,90.3316943,88.79692118,88.86488076,91.06903755,88.62755432,89.39924106,88.65577856,87.96563839,89.38244516,87.75344987,90.4287649,88.4499023,88.72772479,88.53111638,86.54860482,88.39262064,88.3490561,90.20332772,89.21726413,88.67001899,89.44197439,88.49110099,88.4931823,88.51205536,88.92878136,91.6487128,88.78781843,87.90228602,89.64388546,88.96075741,89.55432899,88.83079994,89.83345038,87.47104928,88.38393159,89.60838764
CXorf64,110.8335217,106.6840474,118.1377337,115.8972433,106.5899466,106.3606118,108.8646723,124.6754609,106.8510458,106.6053562,120.6295374,106.1229202,107.710791,106.5643787,107.4279086,106.7944001,106.2229126,124.8545937,106.5329198,107.4830661,106.775057,107.2400969,107.3383839,117.8432422,106.7465718,114.3300777,105.1537069,106.2756801,110.2584708,105.7892237,128.3638467,127.2102803,128.2467929,128.4500064,127.5878192,127.7311507,128.4406963,127.806227,126.5893125,129.4343055,127.6613382,128.837002,126.1028137,128.4288737,127.8133721,124.9071035,131.6045062,129.046378,127.067249,127.2196527,128.3508566,129.6935684,128.9546565,127.842586,129.5130335,127.1106412,128.0341383,128.9094131,128.3555906,129.9968529,126.1681831,106.8605575,128.7883569,128.0302172,127.1048732,130.3345579,128.6051621,129.1761079,114.4035282,106.9483618,127.2014448,128.4393407,107.6984031,130.7791722,131.1962523,121.5693652,128.434582,129.2316849,107.569804,123.3737397,110.502154,105.3582196,127.8031357,128.1272055,129.9777485,128.4609428,106.3128774,128.0335201,129.4216794,118.3522032,106.8773358,107.6643019,107.0547509,105.7224851,105.5476041,108.4029235,106.6225082,108.2609221,107.2709497,108.3065839,107.8816661,105.9149685,106.1011419,106.3453382,107.2606234,108.3423159,107.2065185,105.4476073,106.9750173,105.8151215,107.2100882,106.4632767,108.1059807,105.3435981,107.6505376,105.1799829,106.2702274,108.3642818,107.9516016,105.6766093
FCHSD1,119.7670141,119.0017312,120.2105239,121.5088429,120.3590717,121.1568199,121.1918942,120.8131031,121.0385624,120.7030334,120.193674,120.5914734,120.5005295,120.334735,118.5903988,119.8762781,119.6329377,120.3141928,120.5502918,119.4439207,119.1640688,120.4497671,119.4951291,118.6979151,120.8009208,120.9440841,119.7598935,120.7083844,120.0769928,119.6827045,119.6764067,119.9367292,120.8741779,120.3931222,117.4688056,118.4181703,118.8513564,120.957625,119.7641605,120.4294489,119.8693388,121.0212004,120.9801724,120.9268675,118.0135264,119.7878933,119.9949816,120.4629516,121.5340324,119.4413631,121.1735579,118.7638752,119.3195374,119.5013302,120.1828547,121.0725149,120.5112388,120.8976622,119.2334089,119.7702205,121.8501639,120.7337126,117.4848326,119.0544962,118.8556337,120.3218438,120.223584,119.4369433,118.9184696,121.4962843,120.6236427,119.639334,123.67427,120.7114405,118.3427954,122.0102913,119.5325667,119.3540412,121.6393063,120.5451685,121.9719767,121.3502582,120.9659474,120.073622,119.6764404,123.288345,121.6284564,121.093387,119.2697649,119.5322738,124.444537,139.1974472,125.1071308,130.2792087,122.0403169,121.8947259,125.9335277,122.8318497,137.1845835,127.1012428,138.9763477,120.1534279,126.1575842,123.4529501,128.8538313,118.6742517,143.1644049,139.6756835,122.1313509,130.8449585,122.4586989,121.366309,123.7728252,129.564673,130.9551112,122.9840814,135.0760048,118.0456213,123.4311314,134.4933034
BTBD8,117.904664,116.6686953,117.9283269,117.6337597,117.7630728,117.1074646,116.1591772,117.9712438,117.9433748,118.0555664,117.0956632,116.8999013,118.1296067,118.2514019,120.1656888,118.0199979,117.4695382,117.9392562,117.3129459,118.1133717,117.5071617,117.5834192,117.7553834,119.2314406,115.3025131,120.2472015,118.6864265,119.3429211,116.698129,117.5287622,117.408586,117.2307932,117.9097873,110.0337383,116.7512942,110.4499557,114.0549012,117.5604769,117.3648225,112.9258952,114.7621384,114.6266089,116.7625415,118.388591,113.1310211,116.3880907,117.8409967,116.9923035,114.2447677,118.1812997,118.2198052,116.0537534,109.7012667,117.5276955,118.6272892,111.1696197,118.1016957,113.2075853,118.0472434,118.6645959,101.8997113,97.05195418,99.84787226,102.6603048,107.5182738,103.4190475,104.9404399,108.5439616,98.43999025,99.20606419,100.7833766,99.57355286,97.42905749,108.6451122,107.2428643,97.33980571,105.7834235,106.899848,97.81354373,97.27935937,97.83092244,100.3210704,102.5830018,100.0151239,101.2538111,105.1337364,100.1800362,108.3986918,102.3877553,97.72012753,98.16925001,99.51349998,99.01144243,99.27400138,98.29923476,98.26937281,97.36429885,99.36289353,99.07627687,98.20852991,99.00486028,98.28383449,97.34221839,99.10987252,97.75770901,99.23635637,97.62128536,96.68284704,95.69021466,99.60752296,97.44594163,97.32686195,97.28168706,99.2624047,98.50903036,99.34079908,99.75806661,97.9406028,97.13860286,97.86306421
C3orf17,92.93763402,94.19311572,92.23975332,93.21185056,93.15842376,92.81471126,91.32842351,92.24649318,93.17752115,93.09878873,94.13489761,92.70440936,93.08509351,93.03336048,93.34569027,92.6633686,93.23747326,92.97346074,92.19984516,94.34882851,93.3449226,94.64750028,92.68309306,91.08001126,92.20643547,91.56045979,92.71539835,92.74992218,92.81980021,92.75506946,93.12313238,93.7334033,91.08922679,92.87085207,91.66157279,93.13887761,93.72108289,92.97064173,94.24411761,92.56934576,92.57449017,93.74281925,92.2930654,91.43159366,93.29372502,90.82861916,92.22428463,92.6556362,94.29826134,93.84301374,94.53566985,92.88697566,92.79221666,93.08996088,93.88337466,94.39384126,92.774146,94.05806528,92.69470443,92.38093077,103.8918385,99.29432661,102.1798058,99.65486567,97.26070319,100.3914161,100.0397872,93.33719572,100.1100686,96.89029391,100.7088694,102.1064855,99.00424193,93.99230845,96.61530014,102.2716756,99.59439521,99.67203055,94.59339979,100.8861828,99.37793423,96.47959075,103.1632029,102.1377152,101.9730534,96.86772332,99.21450377,95.2548864,101.6946478,101.0115551,93.55663326,90.96919288,93.7358071,92.84938311,93.54310154,92.86333528,92.67944801,92.76430305,92.87770759,93.16325519,91.61078469,94.02808848,93.26607354,93.07622374,94.12282269,95.39828103,91.68456601,93.52384399,92.75964799,94.29469772,92.73905348,93.27364133,94.16107784,93.90665871,91.8475676,93.87597564,93.39708461,94.2883655,92.43387679,95.17572652
KIT,114.3676889,113.8173145,114.0121255,112.839843,110.4629293,110.4902549,111.4137694,115.8718941,113.5946258,112.6598802,114.3243384,113.5481618,107.4549037,105.1008923,110.2613596,102.7908263,108.2070207,115.5495944,105.1153384,107.4265198,103.7882711,105.012497,106.7512264,113.4675996,105.0764257,112.8615133,109.2188664,107.326291,112.568362,105.9044431,114.4150553,115.0309005,114.4342943,110.5415446,113.4211616,111.9412166,112.079759,112.8284437,114.4284953,109.2760789,112.2345756,111.3767152,114.468207,112.5648251,111.3252682,114.0151232,113.2125335,113.8253632,110.1308882,112.962406,112.3488967,111.8631843,111.2781867,112.5601628,114.0283327,108.6589442,114.8287882,111.1474849,111.6567592,113.7940388,105.9940453,108.6988458,107.1931424,106.8440407,109.8234616,106.5540853,109.6279271,111.0105742,107.2876855,109.5332768,107.9218353,108.2994156,105.0661037,109.7425967,107.3068125,106.3414745,108.5074574,109.1681027,109.1298389,107.6382057,109.4436276,105.9318772,107.9193341,107.9329246,106.2719243,110.1005889,108.245462,109.3415169,108.7580055,106.579259,106.3058598,108.6046582,107.392702,106.6720418,109.0076471,106.3161763,106.2447652,107.2862231,106.8922154,106.8588607,107.045287,106.457314,107.2638664,108.5948727,109.0501388,107.3370884,106.6486151,107.4072108,106.7675428,107.8134,105.5777654,106.1539234,107.7188325,108.2374918,106.5044623,107.9829926,105.2153794,107.9422122,105.79026,106.1660768
